Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules
hiPSC,human iPSCs,,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773355,modelSystemName,,,
hiPSC-SCP,Schwann cell precursor iPSCs,,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773356,modelSystemStrainNomenclature,,,
hiPSC,human iPSCs,,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773357,modelSystemStrainNomenclature,,,
Prss56Cre;R26mT,"Prss56Cre;R26mT is a transgenic non-human animal model for Neurofibromatosis type 1, wherein the Nf1 gene is specifically inactivated in BC cells and derivatives thereof. Invented by invented by Piotr Topilko, Patrick Charnay, Fanny Coulpier, Aurélie Gresset, and Katarzyna Radomska.
",,,FALSE,https://patents.google.com/patent/EP3420811A1/en,modelSystemStrainNomenclature,,,
JHU 2-103-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-103. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
JHU 2-002-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-002. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
JHU 2-079-CL,An MPNST cell line derived from JHU NF1 Biobank tumor specimen JHU 2-079. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
JHU 2-103-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-103. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
JHU 2-002-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-002. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
JHU 2-079-PDX,A PDX model derived from JHU NF1 Biobank tumor specimen JHU 2-079. ,,,FALSE,Sage Bionetworks,modelSystemName,,,
human foreskin fibroblasts,"generic human foreskin fibroblasts, often used as a control cell in toxicology experiments",,,FALSE,Sage Bionetworks,modelSystemName,,,
hTERT NF1 ipNF05.5,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI71,modelSystemName,,,
hTERT NF1 ipNF05.5 (Mixed clones),plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI72,modelSystemName,,,
hTERT NF1 ipn06.2 A,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI74,modelSystemName,,,
hTERT NF1 ipNF95.11b C/T,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI68,modelSystemName,,,
hTERT NF1 ipNF95.6,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI70,modelSystemName,,,
hTERT NF1 ipn02.8,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI65,modelSystemName,,,
hTERT NF1 ipnNF95.11c,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI69,modelSystemName,,,
modelSystemName,"A group of presumed common ancestry with clear-cut physiological but usually not morphological distinctions such as an animal model or cell line. EXAMPLE(S):  HEK293T (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","C57BL/6J, ipn02.3 2λ, ipNF95.11b C,hiPSC-SCP,hiPSC,JHU 2-103-CL,JHU 2-002-CL,JHU 2-079-CL,JHU 2-103-PDX,JHU 2-002-PDX,JHU 2-079-PDX",,FALSE,http://purl.obolibrary.org/obo/NCIT_C94171,neuro,,,
modelSystemStrainNomenclature,Listing of the genetic changes made deliberately in order to generate the animal model.,"""WT"", ""Nf1-OPG"", ""Nf1-OPG-Arg816"", ""Prss56Cre;R26mT"", ""hiPSC-SCP"",""hiPSC""",,FALSE,http://purl.obolibrary.org/obo/NCIT_C41098,neuro,,,
nf2Genotype,"Genotype of NF2 gene, if known","-/-, +/-, +/+, unknown",,FALSE,,neurofibromatosis,,,
nf1Genotype,"Genotype of NF1 gene, if known","-/-, +/-, +/+, unknown",,FALSE,,neurofibromatosis,,,
genomicsAssay,"An assay of genomic type (rnaseq, exomeseq, etc). ",,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,specimenPreparationMethod,experimentalCondition,experimentalTimepoint,timePointUnit,platform,runType,readPair,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,libraryPreparationMethod,nucleicAcidSource,dissociationMethod,readLength,readDepth",TRUE,,template,,ngs,
imagingAssay,"An assay of imaging type (ihc, etc). ",,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit,platform",TRUE,,template,,,
Filename,The name of the file. ,,,TRUE,,NF,,,
epigeneticsAssay,An epigenetics assay. ,,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit,platform,readDepth,nucleicAcidSource",TRUE,,template,,,
pharmacokineticsAssay,A pharmacokinetics assay. ,,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assayTarget,experimentalCondition,experimentalTimepoint,timePointUnit",TRUE,,template,,,
proteomicsAssay,A proteomics assay.,,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,specimenID,proteinExtractSource,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,experimentalCondition,experimentalTimepoint,timePointUnit,platform",TRUE,,template,,,
plateBasedReporterAssay,A plate based reporter assay. ,,"Filename,reportMilestone,fileFormat,resourceType,dataType,dataSubtype,individualID,specimenID,sex,species,modelSystemName,modelSystemStrainNomenclature,genePerturbationType,genePerturbationTechnology,genePerturbed,diagnosis,organ,tissue,nf1Genotype,nf2Genotype,isCellLine,isPrimaryCell,cellType,tumorType,assay,platform,reporterGene,reporterSubstance,experimentalCondition,experimentalTimepoint,timePointUnit",TRUE,,template,,,
patientTimepoints,Patient level metadata. Not for annotation.,,"individualID,sex,species,diagnosis,nf1Genotype,nf2Genotype,experimentalCondition,experimentalTimepoint,timePointUnit",TRUE,,template,,,
-/-,Homozygous deletion or mutation of NF1.,,,FALSE,Sage Bionetworks,nf1Genotype,,,
+/-,Heterozygous deletion or mutation,,,FALSE,Sage Bionetworks,nf1Genotype,,,
+/+,Homozygous wildtype,,,FALSE,Sage Bionetworks,nf1Genotype,,,
unknown,,,,FALSE,Sage Bionetworks,nf1Genotype,,,
-/-,Homozygous deletion or mutation of NF2.,,,FALSE,Sage Bionetworks,nf2Genotype,,,
+/-,Heterozygous deletion or mutation,,,FALSE,Sage Bionetworks,nf2Genotype,,,
+/+,Homozygous wild type,,,FALSE,Sage Bionetworks,nf2Genotype,,,
unknown,,,,FALSE,Sage Bionetworks,nf2Genotype,,,
runType,Is the sequencing run single or paired end?,"singleEnd, pairedEnd",,FALSE,Sage Bionetworks,ngs,,,
readPair,The read of origin,"1, 2",,FALSE,,ngs,,,
isStranded,Whether or not the library is stranded. (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,FALSE,,ngs,,,
readPairOrientation,The relative orientation of the reads in a paired-end protocol,"inward, outward, matching",,FALSE,,ngs,,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward, reverse",,FALSE,,ngs,,,
libraryPrep,The general strategy by which the library was prepared,"rRNAdepletion, polyAselection, lncRNAenrichment, miRNAenrichment",,FALSE,,ngs,,,
libraryPreparationMethod,Method by which library was prepared,"10x, CEL-seq, Drop-Seq, Smart-seq2, TruSeq, Smart-seq4, Omni-ATAC, NEBNext mRNA Library Prep Reagent Set for Illumina",,FALSE,,ngs,,,
nucleicAcidSource,Source of the extracted nucleic acid used in the experiment,"bulk cell, single cell, bulk nuclei, single nucleus, mitochondria",,FALSE,Sage Bionetworks,ngs,,,
dissociationMethod,Procedure by which a biological specimen is dissociated into individual cells or a cell suspension,"10x_v2, FACS, Fluidigm C1, drop-seq, inDrop, mouth pipette, bulk, enzymatic, mechanical, none",,FALSE,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0009088,ngs,,,
readLength,,,,FALSE,,ngs,,,
bulk cell,All cells from bulk sample,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,,
single cell,Single cell,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,,
bulk nuclei,All nuclei from bulk sample,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,,
single nucleus,Single nuclei,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,,
mitochondria,Mitochondria only,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,nucleicAcidSource,,,
lymph node,A bean-shaped organ surrounded by a connective tissue capsule.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C12745,organ,,,
kidney,One of the two bean-shaped organs located on each side of the spine in the retroperitoneum.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C12415,organ,,,
skin,The integument of an animal (as a fur-bearing mammal or a bird) separated from the body usually with its hair or feathers.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0001253,organ,,,
mammary gland,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.",,,FALSE,http://purl.obolibrary.org/obo/UBERON_0001911,organ,,,
nerves,"Any of the filamentous bands of nervous tissue that connect parts of the nervous system with the other organs, conduct nervous impulses, and are made up of axons and dendrites together with protective and supportive structures.",,,FALSE,http://purl.obolibrary.org/obo/BTO_0000925,organ,,,
brain,The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000142,organ,,,
blood,"The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body.",,,FALSE,http://purl.obolibrary.org/obo/BTO_0000089,organ,,,
breast,The fore or ventral part of the body between the neck and the abdomen.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000149,organ,,,
colon,The part of the large intestine that extends from the cecum to the rectum.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000269,organ,,,
lung,One of the usually paired compound saccular thoracic organs that constitute the basic respiratory organ of air-breathing vertebrates.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000763,organ,,,
prostate,Lobular organ the parenchyma of which has as its parts glandular acini which are continuous with the prostatic part of the urethra.,,,FALSE,http://purl.obolibrary.org/obo/FMA_9600,organ,,,
pancreas,A large lobulated gland of vertebrates that secretes digestive enzymes and the hormones insulin and glucagon.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000988,organ,,,
ovary,One of the typically paired essential female reproductive organs that produce eggs and in vertebrates female sex hormones.,,,FALSE,http://purl.obolibrary.org/obo/BTO_0000975,organ,,,
spleen,"A highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes.",,,FALSE,http://purl.obolibrary.org/obo/BTO_0001281,organ,,,
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.",,,FALSE,http://purl.obolibrary.org/obo/BTO_0000141,organ,,,
Bursa Of Fabricius,"An epithelial outgrowth of lymphoid tissue in the cloaca of young birds, responsible for B-lymphocyte maturation. It undergoes atrophy and involution at six months of age.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C111141,organ,,,
nose,A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C12756,organ,,,
Olympus DP80,Dual-Sensor Monochrome and Color Camera,,,FALSE,https://www.olympus-lifescience.com/en/camera/color/dp80/,platform,,,
Orbitrap Fusion Lumos Tribrid,Thermo Scientific Orbitrap Fusion Lumos Tribrid Mass Spectrometer,,,FALSE,https://www.thermofisher.com/us/en/home/industrial/mass-spectrometry/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-systems/orbitrap-lc-ms/orbitrap-tribrid-mass-spectrometers/orbitrap-fusion-lumos-mass-spectrometer.html,platform,,,
Spectramax M Series,A Spectramax M Series Microplate Reader,,,FALSE,https://www.moleculardevices.com/products/microplate-readers/multi-mode-readers/spectramax-m-series-readers,platform,,,
LI-COR Odyssey CLx,A LI-COR Odyssey CLx imaging system,,,FALSE,https://www.licor.com/bio/odyssey-clx/,platform,,,
Q Exative HF,Thermo scientific Q Exative,,,FALSE,http://purl.obolibrary.org/obo/MS_10025223,platform,,,
HiSeq3000,Illumina HiSeq 3000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21290,platform,,,
HiSeq2500,Illumina HiSeq 2500,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16791,platform,,,
HiSeq4000,Illumina HiSeq 4000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20301,platform,,,
NextSeq500,Illumina NextSeq 500,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18573,platform,,,
NextSeq 550,Illumina NextSeq 550,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21697,platform,,,
NextSeq 1000,Illumina NextSeq 1000,,,FALSE,,platform,,,
NextSeq 2000,Illumina NextSeq 2000,,,FALSE,,platform,,,
HiSeq2000,Illumina HiSeq 2000,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL11154,platform,,,
MiSeq,Illumina MiSeq,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL15520,platform,,,
Zeiss LSM 980,A Zeiss Confocal Microscope,,,FALSE,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwirj4XuwtXsAhVBrp4KHVZyARIQFjABegQIAhAC&url=https%3A%2F%2Fzeiss.ly%2Flsm980-info&usg=AOvVaw0rD50U0aMwfvt4bdfW0Yjd,platform,,,
Affy5.0,Affymetrix Genome-Wide Human SNP 5.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804,platform,,,
Affy6.0,Affymetrix Genome-Wide Human SNP 6.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6801,platform,,,
PacBioRSII,PacBio RS II,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21311,platform,,,
GAIIx,Illumina Genome Analyzer IIx,,,FALSE,https://support.illumina.com/content/dam/illumina-marketing/documents/products/datasheets/datasheet_genome_analyzeriix.pdf,platform,,,
Illumina_HumanOmni1-Quadv1.0,,,,FALSE,https://www.illumina.com/documents/products/datasheets/datasheet_humanomni1_quad.pdf,platform,,,
Illumina_1M,,,,FALSE,,platform,,,
Illumina_h650,,,,FALSE,,platform,,,
Illumina_Omni2pt5M,,,,FALSE,,platform,,,
Illumina_Omni5M,,,,FALSE,,platform,,,
Illumina MouseWG-6 v2.0 expression beadchip,Whole-genome expression profiling in the mouse,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6887,platform,,,
Perlegen300Karray,,,,FALSE,,platform,,,
Agilent44Karray,,,,FALSE,,platform,,,
IlluminaWholeGenomeDASL,Illumina Human Whole-Genome DASL HT,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13369,platform,,,
IlluminaHumanHap300,,,,FALSE,,platform,,,
NanostringnCounter,,,,FALSE,,platform,,,
LTQ Orbitrap XL,LTQ Orbitrap XL Hybrid Ion Trap-Orbitrap Mass Spectrometer,,,FALSE,https://www.thermofisher.com/order/catalog/product/IQLAAEGAAPFADBMAOK,platform,,,
IlluminaHumanMethylation450,Illumina HumanMethylation450 BeadChip,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13534,platform,,,
Illumina Infinium MethylationEPIC BeadChip,"An Illumina methylation BeadChip which is an array that interrogates ~ 850,000 methylation sites per sample at single-nucleotide resolution.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0002131,platform,,,
AffymetrixU133AB,,,,FALSE,,platform,,,
Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version] in situ oligonucleotide,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6244,platform,,,
AffymetrixU133Plus2,Affymetrix Human Genome U133 Plus 2.0 Array,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570,platform,,,
HiSeqX,Illumina HiSeq X Platform for whole-genome sequencing,,,FALSE,https://www.illumina.com/systems/sequencing-platforms/hiseq-x.html,platform,,,
Bionano Irys,Performs whole genome mapping in a nanoscale fluidic environment enabling the structure of the genome to be imaged and then analyzed at the single molecule level,,,FALSE,https://bionanogenomics.com/products/irys/,platform,,,
Infinium HumanOmniExpressExome,Infinium HumanOmniExpressExome BeadChip,,,FALSE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18224,platform,,,
cell lysate,a cell lysate is a material entity which is output of a cell lysis process,,,TRUE,http://purl.obolibrary.org/obo/OBI_1000036,proteinExtractSource,,,
nuclear extract,Nuclear extracts contain proteins in nuclear compartment of the cell,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C19832,proteinExtractSource,,,
mitochondria,Mitochondria only,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,proteinExtractSource,,,
cytoplasm,That portion of the cell contained within the plasma membrane but excluding the nucleus.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C13226,proteinExtractSource,,,
1,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.,,,FALSE,http://purl.obolibrary.org/obo/SO_0000007,readPair,,,
2,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.,,,FALSE,http://purl.obolibrary.org/obo/SO_0000007,readPair,,,
inward,Reads face each other,,,FALSE,Sage Bionetworks,readPairOrientation,,,
outward,Reads face away from each other,,,FALSE,Sage Bionetworks,readPairOrientation,,,
matching,Reads face the same direction,,,FALSE,Sage Bionetworks,readPairOrientation,,,
forward,Read 1 (or unpaired read) comes from the forward strand and read 2 (if applicable) comes from the reverse strand; equivalent to Tophat 'fr-secondstrand' type,,,FALSE,Sage Bionetworks,readStrandOrigin,,,
reverse,read 1 (or unpaired read) comes from the reverse strand and read 2 (if applicable) comes from the forward strand; equivalent to Tophat 'fr-firststrand' type,,,FALSE,Sage Bionetworks,readStrandOrigin,,,
GRCh38,Genome Reference Consortium Human Build 38,,,FALSE,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26,referenceSet,,,
GRCh37,Genome Reference Consortium Human Build 37,,,FALSE,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13/,referenceSet,,,
MMUL1.0,Ensembl preliminary assembly Macaca mulatta,,,FALSE,https://jul2016.archive.ensembl.org/Macaca_mulatta/Info/Index,referenceSet,,,
HRC,Human haplotype reference panel,,,FALSE,http://www.haplotype-reference-consortium.org,referenceSet,,,
experimentalData,"Any file derived from or pertaining to a scientific experiment. experimentalData annotations should be applied, possibly disease-related",,"dataType,dataSubtype,specimenID,individualID,species, diagnosis,isCellLine,sex,tissue,tumorType,nf1Genotype,nf2Genotype,genePerturbationType,genePerturbed,experimentalCondition,experimentalTimepoint,timePointUnit",FALSE,Sage Bionetworks,resourceType,,,
curatedData,"Any file derived from or pertaining a manually or programatically curated data resource. Examples include: reference sequences, drug information databases, identifier maps",,,FALSE,Sage Bionetworks,resourceType,,,
result,"Any file that reports data results. Examples include figures, presentations, analysis, etc.",,,FALSE,Sage Bionetworks,resourceType,,,
tool,"Any file or link that represents a tool, model, or algorithm; the tool annotations could be applied",,,FALSE,Sage Bionetworks,resourceType,,,
report,"a document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).",,,FALSE,http://purl.obolibrary.org/obo/IAO_0000088,resourceType,,,
singleEnd,A library preparation that results in the creation of a library of 5' ends of DNA.,,,FALSE,Sage Bionetworks,runType,,,
pairedEnd,A library preparation that results in the creation of a library of the 5' and 3' ends of DNA or cDNA fragments using adaptors and endonucleases. The preparation may or may not include cloning process.,,,FALSE,http://purl.obolibrary.org/obo/OBI_0001852,runType,,,
experimentalCondition,A free-text description of the experimental condition (e.g. 5 mM doxorubicin). ,,,FALSE,Sage Bionetworks,sageCommunity,,,
experimentalTimepoint,The numeric value indicating the time elapsed from the beginning of the experiment at which the specimen was collected. Use in tandem with timePointUnit,,,FALSE,Sage Bionetworks,sageCommunity,,,
genePerturbed,The HUGO gene symbol for the gene that is perturbed. ,,,FALSE,Sage Bionetworks,sageCommunity,,,
resourceType,The type of resource being stored and annotated,"experimentalData, curatedData, result, tool, report",,TRUE,,sageCommunity,,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","ai, bash script, bedgraph, idx, idat, bam, bai, excel, powerpoint, tif, png, doc, pdf, hdf, fasta, fastq, sam, vcf, bcf, maf, bed, chp, cel, sif, tsv, csv, txt, plink, bigwig, wiggle, gct, bgzip, zip, seg, html, mov, hyperlink, svs, md, flagstat, gtf, raw, msf, rmd, bed narrowPeak, bed broadPeak, bed gappedPeak, avi, pzfx, fig, xml, tar, R script, abf, bpm, dat, jpg, locs, Sentrix descriptor file, Python script, sav, gzip, sdf, RData, hic, ab1, 7z, gff3, json, sqlite, svg, sra, recal, tranches, mtx, tagAlign, dup, DICOM, czi, mzML, SPAR, SDAT, PAR, REC, sf",,TRUE,,sageCommunity,,,
Male,,,,FALSE,,sex,,,
Female,,,,FALSE,,sex,,,
unknown,,,,FALSE,,sex,,,
Homo sapiens,Homo sapiens with taxonomy ID: 9606 and Genbank common name: human,,,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Mus musculus,Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Mus musculus (humanized),Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Rattus norvegicus,Rattus with taxonomy ID:10116 and Genbank common name: Norway rat,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10116&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Drosophila melanogaster,Drosophila melanogaster with taxonomy ID: 7227 and Genbank common name: fruit fly,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,species,,,
Rhesus macaque,Macaca mulatta with taxonomy ID: 9544 and Genbank common name: Rhesus monkey,,,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock,species,,,
Pan troglodytes,Pan troglodytes with taxonomy ID: 9598 and Genbank common name: chimpanzee,,,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Gallus gallus,"The common domestic fowl, Chicken.",,,FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031,species,,,
Sus scrofa,Sus scrofa with taxonomy ID: 9823 and Genbank common name: pig,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9823,species,,,
Oryctolagus cuniculus,"
Oryctolagus cuniculus with taxonomy ID: 9986 and Genbank common name: rabbit",,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9986&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
Danio rerio,Danio rerio with taxonomy ID: 7955 and Genbank common name: zebrafish,,"modelSystemStrainNomenclature,modelSystemName",FALSE,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7955&lvl=3&lin=f&keep=1&srchmode=1&unlock,species,,,
seconds,,,,FALSE,,timePointUnit,,,
minutes,,,,FALSE,,timePointUnit,,,
hours,,,,FALSE,,timePointUnit,,,
days,,,,FALSE,,timePointUnit,,,
weeks,,,,FALSE,,timePointUnit,,,
months,,,,FALSE,,timePointUnit,,,
nerve tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714,tissue,,,
optic nerve,The nerve that carries messages from the retina to the brain.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C12761,tissue,,,
serum,Liquid derived from blood plasma that has clotting factors removed.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001977,tissue,,,
plasma,"Plasma is the fluid (noncellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C13356,tissue,,,
